fewsid;Id;Code;Omschrijving;Groep;Titel;Begin geldigheid;Eind geldigheid
188;481;I19250.03;NEN-EN-ISO 19250:2003 Ontw. en;Norm water-biologisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
189;482;I19493.07;NEN-EN-ISO 19493:2007 en;Norm water-biologisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
190;483;I20079.06;NEN-EN-ISO 20079:2006 en;Norm water-biologisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
191;484;I20179.05;NEN-ISO 20179:2005 en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
192;1036;I20236.18;NEN-ISO 20236:2018 en;Norm water-chemisch;;4 december 2019 00:00:00;1 januari 2100 00:00:00
193;485;I20279.05;ISO 20279:2005 en;Norm bodem-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
194;486;I20280.07;ISO 20280:2007 en;Norm bodem-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
195;487;I21427-1.06;NEN-ISO 21427-1:2006 en;Norm water-biologisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
196;488;I21427-2.06;NEN-ISO 21427-2:2006 en;Norm water-biologisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
197;489;I22032.06;ISO 22032:2006 en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
198;490;I22036.08;ISO 22036:2008 en;Norm bodem-chemisch;;6 december 2011 00:00:00;1 januari 2100 00:00:00
199;280;I22155.05;NEN-ISO 22155:2005 en;Norm vervallen;;19 november 2015 00:00:00;1 januari 2100 00:00:00
200;492;I22155.11;NEN-ISO 22155:2011en;Norm bodem-chemisch;;1 augustus 2014 00:00:00;1 januari 2100 00:00:00
201;292;I22478.06;NEN-EN-ISO 22478:2006 en;Norm water-chemisch;;10 december 2015 00:00:00;1 januari 2100 00:00:00
202;494;I22743.06;NEN-ISO 22743:2006 en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
203;495;I23161.09;ISO 23161:2009;Norm bodem-chemisch;;6 december 2011 00:00:00;1 januari 2100 00:00:00
204;496;I23470.07;ISO 23470:2007 en;Norm bodem-fysisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
205;497;I23631.06;NEN-EN-ISO 23631:2006 en;Norm water-chemisch;;11 juni 2011 00:00:00;1 januari 2100 00:00:00
